id,latin,family,category,origin,climate,common,tempmax_celsius,tempmin_celsius,ideallight,toleratedlight,watering,use,normalized_light_need,supports_direct_sun,supports_diffused_light,supports_bright_light,light_flexibility,indoor_use_score,temp_context_score,plant_group,direct_sun_min_h_day,direct_sun_max_h_day,preferred_shadow_min_h_day,preferred_shadow_max_h_day,lux_min,lux_max,humidity_min_percent,humidity_max_percent,soil_moisture_class_0_4,drought_tolerance_0_1,sun_center_h_day,sun_range_h_day,shadow_center_h_day,shadow_range_h_day,lux_center,lux_range,humidity_center_percent,humidity_range_percent,temp_preferred_min_c,temp_preferred_max_c,temp_preferred_center_c,temp_preferred_range_c,plant_variety_cluster,plant_cluster_label,plant_light_index,bridge_cluster_id,bridge_cluster_label
170,Polyscias fruticosa Elegans,Araliaceae,Aralia,Malaysia,Tropical,Ming Aralia; Parsley panax,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
171,Philodendron selloum,Araceae,Philodendron,Brazil,Tropical,Lacy tree philodendron,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
172,Pteris ensiformis Evergemiensis,Pteridaceae,Fern,Asia,Tropical humid,Silver Lace Fern,28,12,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,medium_indirect,0,0,1,0,1,2,medium_indirect,1.0,4.0,4.0,7.0,1500.0,30000.0,60.0,90.0,4.0,0.1,2.5,3.0,5.5,3.0,15750.0,28500.0,75.0,30.0,12,28,20.0,16,3,cluster_3,0.2174671592775041,2,bridge_cluster_2
173,Rhapis excelsa,Arecaceae,Palm,China,Subtropical,Lady palm,30,8,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,40.0,70.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,55.0,30.0,8,30,19.0,22,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
174,Polyscias fruticosa,Araliaceae,Aralia,Malaysia,Tropical,Ming Aralia; Parsley panax,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
175,Philodendron scandens oxycardium,Araceae,Philodendron,Central America,Tropical,Parlor ivy; Sweetheart plant; Heartleaf philodendron; Cordatum vine,28,18,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,18,28,23.0,10,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
176,Veitchia merrillii,Arecaceae,Palm,Philippines,Tropical,Adonidia; Christmas palm; Manila palm,30,15,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,4.0,0.1,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,15,30,22.5,15,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
177,Spathiphyllum Lynise,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
178,Spathiphyllum Ceres,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
179,Vriesea splendens,Bromeliaceae,Bromeliad,Venezuela,Tropical,N/A,28,15,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
180,Trichilia dregei,Miliaceae,Other,Zimbabwe,Tropical humid,Cape mahogany; Christmas bells,28,12,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,12,28,20.0,16,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
181,Vriesea Ginger,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,28,15,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
182,Vriesea Charlotte,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,28,15,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
183,Syngonium podophyllum,Araceae,Hanging,Cultivar,Tropical humid,African evergreen; Arrowhead vine; Goosefoot plant; White Lightning,28,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,bright_indirect,0,1,1,1,0,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
184,Syagrus schizophylla,Arecaceae,Palm,Brazil,Tropical humid,Parrot palm,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,60.0,90.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,75.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
185,Tillandsia cyanea,Bromeliaceae,Bromeliad,Ecuador,Tropical humid,Pink quill,30,15,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,15,30,22.5,15,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
186,Vriesea Christiane,Bromeliaceae,Bromeliad,Cultivar,Tropical,N/A,28,15,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
187,Tillandsia Creation,Bromeliaceae,Bromeliad,Hybrid,Tropical humid,N/A,30,15,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,15,30,22.5,15,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
188,Xanthosoma lindenii,Araceae,Foliage plant,Colombia,Tropical,Indian kale,28,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
189,Schefflera elegantissima,Araliaceae,Aralia,New Calidonia,Tropical,False aralia,28,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,28,20.0,16,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
190,Spathiphyllum Sensation,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
191,Spathiphyllum Starlight,Liliaceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
192,Sedum morganianum,Crasssulaceae,Hanging,Mexico,Arid Tropical,Burro tail,35,8,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Hanging; Tertiary,high_light,1,0,0,2,0,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,8,35,21.5,27,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
193,Spathiphyllum Domino,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
194,Syngonium podophyllum,Araceae,Hanging,Cultivar,Tropical humid,African evergreen; Arrowhead vine; Goosefoot plant; Pink Allusion,28,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,bright_indirect,0,1,1,1,0,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,60.0,90.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,75.0,30.0,12,28,20.0,16,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
195,Scindapsus pictus argyraeus,Araceae,Hanging,Indonisia,Tropical,Picta Philodendron; Satin pothos; Devils ivy,30,12,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Tertiary,bright_indirect,0,1,1,1,0,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
196,Xanthorrhoea arborea,Liliaceae,Other,Australia,Arid Tropical,Grass tree,35,12,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,high_light,1,0,0,1,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,20.0,50.0,1.0,0.9,7.0,2.0,1.0,2.0,55000.0,90000.0,35.0,30.0,12,35,23.5,23,2,cluster_2,0.7916666666666667,0,bridge_cluster_0
197,Schefflera arboricola Trinette,Araliaceae,Schefflera,Cultivar,Tropical,Yellow Hawaiian elf; Yellow parasol plant,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
198,Schefflera actinophylla Amate,Araliaceae,Schefflera,Cultivar,Tropical,Umbella plant,28,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,28,20.0,16,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
199,Schefflera actinophylla Renegade,Araliaceae,Schefflera,Cultivar,Tropical,Umbella plant,28,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,28,20.0,16,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
200,Sansevieria trifasciata var,Liliaceae,Sansevieria,Cultivar,Tropical,Snake plant,35,10,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.0,0.45,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,10,35,22.5,25,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
201,Spathiphyllum Supreme,Liliaceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
202,Schefflera arboricola,Araliaceae,Schefflera,Taiwan,Tropical,Hawaiian elf; Parasol plant,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
203,Spathiphyllum,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily; Emerald Swirl,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
204,Spathiphyllum Starlight,Araceae,Spathiphyllum,Cultivar,Tropical,Peace lily,28,15,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,4.0,0.1,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,15,28,21.5,13,1,cluster_1,0.052996715927750404,1,bridge_cluster_1
205,Schefflera arboricola,Araliaceae,Schefflera,Cultivar,Tropical,Hawaiian elf; Parasol plant; Gold Cappela,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,45.0,75.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,60.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
206,Strelitzia nicolai,Strelitziaceae,Foliage plant,South Africa,Subtropical,White bird of paradise,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
207,Zamioculcas zamifolia,Araceae,Foliage plant,South Africa,Tropical,Zz plant,30,12,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,bright_indirect,0,1,1,1,1,2,bright_indirect,0.0,2.0,6.0,8.0,800.0,10000.0,45.0,75.0,3.5,0.25,1.0,2.0,7.0,2.0,5400.0,9200.0,60.0,30.0,12,30,21.0,18,4,cluster_4,0.052996715927750404,1,bridge_cluster_1
208,Yucca elephantipes,Liliaceae,Dracaena,Mexico,Subtropical,Spineless yucca; Palm lily,30,12,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,high_light,1,0,0,2,1,2,high_light,6.0,8.0,0.0,2.0,10000.0,100000.0,40.0,70.0,3.5,0.25,7.0,2.0,1.0,2.0,55000.0,90000.0,55.0,30.0,12,30,21.0,18,0,cluster_0,0.7916666666666667,0,bridge_cluster_0
